Date/Time,Wind Speed (m/s),LV ActivePower (kW),Theoretical_Power_Curve (KWh),Wind Direction (°),,,
26 05 2018 21:10,10.2,2578.862061,2910.092203,35.62393188,,,10.2
26 05 2018 21:20,8.04,1485.728027,1551.330922,33.0126915,,,8.04
26 05 2018 21:30,7.2,1072.71106,1109.053231,41.31035995,,,7.2
26 05 2018 21:40,8.06,1516.911011,1562.269754,46.46836853,,,8.06
26 05 2018 21:50,9.03,2002.203979,2166.287215,46.1867981,,,9.03
26 05 2018 22:00,7.78,1368.94104,1407.141322,35.74007034,,,7.78
26 05 2018 22:10,9.36,2302.693115,2380.704955,27.67288971,,,9.36
26 05 2018 22:20,7.64,1322.072998,1329.844213,38.78921127,,,7.64
26 05 2018 22:30,8.06,1526.030029,1562.481574,35.44713974,,,8.06
26 05 2018 22:40,9.62,2346.771973,2532.458525,28.63707924,,,9.62
26 05 2018 22:50,10.74,2960.530029,3170.982303,30.31510925,,,10.74
26 05 2018 23:00,9.86,2733,2699.342698,26.26222038,,,9.86
26 05 2018 23:10,10.55,2870.177979,3090.744945,28.47879982,,,10.55
26 05 2018 23:20,9.21,2124.833984,2279.03458,32.64017868,,,9.21
26 05 2018 23:30,9.73,2396.288086,2614.280897,23.72123909,,,9.73
26 05 2018 23:40,8.82,1943.656006,2029.705836,23.98317909,,,8.82
26 05 2018 23:50,10.11,2584.750977,2858.298883,20.94185066,,,10.11
27 05 2018 00:00,10.18,2526.590088,2901.053824,24.82666969,,,10.18
27 05 2018 00:10,8.41,1700.640015,1773.389662,24.89727974,,,8.41
27 05 2018 00:20,7.54,1318.185059,1276.380906,36.75223923,,,7.54
27 05 2018 00:30,6.3,734.9569092,731.0826986,22.74622917,,,6.3
27 05 2018 00:40,6.03,656.0900269,632.9754004,11.2469101,,,6.03
27 05 2018 00:50,5.62,449.3310852,503.1062176,18.76926994,,,5.62
27 05 2018 01:00,8.01,1476.33606,1534.789903,25.19264984,,,8.01
27 05 2018 01:10,7.66,1237.777954,1342.773204,23.01825905,,,7.66
27 05 2018 01:20,7.99,1497.69397,1526.924027,20.00646973,,,7.99
27 05 2018 01:30,8.55,1780.547974,1857.402701,18.35096931,,,8.55
27 05 2018 01:40,7.71,1279.295044,1368.808074,17.1365509,,,7.71
27 05 2018 01:50,8.26,1496.203003,1680.107751,9.07306385,,,8.26
27 05 2018 02:00,8.46,1563.222046,1800.609585,10.95891953,,,8.46
27 05 2018 02:10,8.32,1656.588013,1718.293799,12.61793995,,,8.32
27 05 2018 02:20,8.71,1745.855957,1960.040586,6.530880928,,,8.71
27 05 2018 02:30,8.25,1503.45105,1674.742042,5.270587921,,,8.25
27 05 2018 02:40,8.93,1941.823975,2101.401812,358.5054016,,,8.93
27 05 2018 02:50,9.55,2076.137939,2479.462658,356.8648987,,,9.55
27 05 2018 03:00,7.96,1460.80603,1508.445452,341.446991,,,7.96
27 05 2018 03:10,11.14,2579.949951,3319.290559,341.6659851,,,11.14
27 05 2018 03:50,0,0,0,0,,,0
27 05 2018 04:00,8.63,0,1907.378712,0,,,8.63
27 05 2018 04:10,8.49,631.4141846,1821.362909,90.37251282,,,8.49
27 05 2018 04:20,11.84,3018.61792,3495.53475,84.93044281,,,11.84
27 05 2018 04:30,14.12,3600.981934,3600,78.48053741,,,14.12
27 05 2018 04:40,12.79,3455.364014,3594.614091,81.89823151,,,12.79
27 05 2018 04:50,14.03,3553.897949,3600,79.26067352,,,14.03
27 05 2018 05:00,13.71,3535.514893,3600,78.52451324,,,13.71
27 05 2018 05:10,13.03,3498.275879,3600,78.13070679,,,13.03
27 05 2018 05:20,11.78,3270.894043,3483.008945,72.97331238,,,11.78
27 05 2018 05:30,11.66,3046.106934,3457.894745,75.29673004,,,11.66
27 05 2018 05:40,11.29,3024.74292,3366.408758,73.30544281,,,11.29
27 05 2018 05:50,10.21,2407.187988,2914.526752,71.64868164,,,10.21
27 05 2018 06:00,10.07,2334.204102,2836.680696,69.97324371,,,10.07
27 05 2018 06:10,9.78,2175.733887,2645.661614,62.92671967,,,9.78
27 05 2018 06:20,9.45,2075.337891,2437.6412,60.68531036,,,9.45
27 05 2018 06:30,9.25,1931.015015,2305.255732,57.14793015,,,9.25
27 05 2018 06:40,9.36,2022.781982,2375.381094,57.19649124,,,9.36
27 05 2018 06:50,8.74,1688.636963,1979.649137,61.673069,,,8.74
27 05 2018 07:00,8.35,1488.72998,1735.519003,63.14850998,,,8.35
27 05 2018 07:10,8.24,1443.697998,1671.172647,61.80047989,,,8.24
27 05 2018 07:20,7.48,1105.761963,1247.824464,64.44924927,,,7.48
27 05 2018 07:30,7.08,935.1978149,1053.649368,67.67350006,,,7.08
27 05 2018 07:40,7.46,1073.57605,1236.023766,66.04450226,,,7.46
27 05 2018 07:50,7.46,1110.968018,1235.462984,70.84670258,,,7.46
27 05 2018 08:00,8.51,1553.543945,1835.280966,72.49401093,,,8.51
27 05 2018 08:10,8.52,1580.519043,1837.919888,69.73988342,,,8.52
27 05 2018 08:20,8.26,1457.349976,1680.906924,69.45880127,,,8.26
27 05 2018 08:30,7.98,1332.098022,1518.699613,69.60421753,,,7.98
27 05 2018 08:40,7.3,1045.379028,1156.3492,67.58737946,,,7.3
27 05 2018 08:50,7.1,959.5042114,1059.680211,64.92733765,,,7.1
27 05 2018 09:00,7.77,1278.436035,1403.87585,59.05746078,,,7.77
27 05 2018 09:10,6.21,650.3421021,697.2040435,55.03968811,,,6.21
27 05 2018 09:20,6.44,699.8994751,783.0491307,52.97119141,,,6.44
27 05 2018 09:30,6.7,772.9074707,884.7612859,61.50656891,,,6.7
27 05 2018 09:40,5.17,371.6173096,378.0743958,48.41987991,,,5.17
27 05 2018 09:50,6.46,750.0374756,789.921762,40.20283127,,,6.46
27 05 2018 10:00,6.75,799.8826904,907.9858008,51.86380005,,,6.75
27 05 2018 10:10,5.75,596.5067139,544.8575101,42.69329071,,,5.75
27 05 2018 10:20,5.22,335.7719116,392.4628213,38.15383148,,,5.22
27 05 2018 10:30,5.91,514.6381836,595.7080369,39.5968399,,,5.91
27 05 2018 10:40,6.5,718.0952759,807.6418479,36.11869812,,,6.5
27 05 2018 10:50,6.99,1012.586975,1013.409237,25.35326958,,,6.99
27 05 2018 11:00,7.31,1108.862061,1162.583783,34.30487823,,,7.31
27 05 2018 11:10,6.96,1006.856018,996.0104805,34.86862946,,,6.96
27 05 2018 11:20,7.79,1470.958008,1414.680613,31.33361053,,,7.79
27 05 2018 11:30,8.78,1783.061035,2005.006106,38.08543015,,,8.78
27 05 2018 11:40,8.64,1721.188965,1916.201784,40.81396103,,,8.64
27 05 2018 11:50,7.13,1010.947021,1074.15783,31.47373962,,,7.13
27 05 2018 12:00,8.61,1691.18396,1898.176495,25.3762207,,,8.61
27 05 2018 12:10,7.44,1116.185059,1225.912572,20.01922989,,,7.44
27 05 2018 12:20,9.42,2253.149902,2418.901009,12.98987007,,,9.42
27 05 2018 12:30,9.01,2154.521973,2153.235998,354.6090088,,,9.01
27 05 2018 12:40,8.74,1954.108032,1979.971127,14.47478962,,,8.74
27 05 2018 12:50,6.82,1134.639038,937.1915898,27.40979958,,,6.82
27 05 2018 13:00,5.59,566.4111938,495.1632065,16.40970039,,,5.59
27 05 2018 13:10,8.71,1908.329956,1961.530675,13.21903038,,,8.71
27 05 2018 13:20,10.53,2841.219971,3079.545221,21.78737068,,,10.53
27 05 2018 13:30,9.52,2372.165039,2458.103344,26.33740997,,,9.52
27 05 2018 13:40,11.53,3366.113037,3427.970632,21.75266075,,,11.53
27 05 2018 13:50,11.56,3253.118896,3436.545143,24.61282921,,,11.56
27 05 2018 14:00,9.75,2591.048096,2623.942272,24.40794945,,,9.75
27 05 2018 14:10,10.27,2722.917969,2946.630808,23.2305603,,,10.27
27 05 2018 14:20,9.1,2071.062988,2211.604385,31.2937603,,,9.1
27 05 2018 14:30,9.34,2196.766113,2366.565894,27.70435905,,,9.34
27 05 2018 14:40,8.97,2008.989014,2122.406102,28.82263947,,,8.97
27 05 2018 14:50,10.58,2699.156006,3100.86542,25.85050964,,,10.58
27 05 2018 15:00,9.22,2015.296021,2284.241678,31.51078033,,,9.22
27 05 2018 15:10,9.74,2142.635986,2621.750094,33.77017975,,,9.74
27 05 2018 15:20,10.17,2462.73291,2895.693213,36.77235031,,,10.17
27 05 2018 15:30,10.33,2586.129883,2981.841731,34.91891098,,,10.33
27 05 2018 15:40,9.77,2278.459961,2639.484375,31.64703941,,,9.77
27 05 2018 15:50,10.33,2514.204102,2982.537228,35.30635071,,,10.33
27 05 2018 16:00,10.39,2620.934082,3009.911657,46.46538925,,,10.39
27 05 2018 16:10,9.64,2343.750977,2549.08442,49.26499176,,,9.64
27 05 2018 16:20,10.11,2548.641113,2859.09831,49.5423317,,,10.11
27 05 2018 16:30,9.64,2307.646973,2543.962221,48.0713501,,,9.64
27 05 2018 16:40,8.98,1940.80896,2129.04992,48.88759995,,,8.98
27 05 2018 16:50,9.36,2122.075928,2375.091325,49.19578934,,,9.36
27 05 2018 17:00,9.16,1982.623047,2246.647597,47.67422104,,,9.16
27 05 2018 17:10,8.15,1436.029053,1615.698433,47.35599899,,,8.15
27 05 2018 17:20,7.81,1212.984009,1420.477047,57.17142105,,,7.81
27 05 2018 17:30,7.27,1052.80896,1144.321437,65.30500031,,,7.27
27 05 2018 17:40,6.64,756.5723877,860.7359673,62.54293823,,,6.64
27 05 2018 17:50,6.54,699.2694702,822.7782827,64.29949951,,,6.54
27 05 2018 18:00,6.24,565.0402222,706.526626,62.77481079,,,6.24
27 05 2018 18:10,5.95,491.0931091,606.7484685,54.18471146,,,5.95
27 05 2018 18:20,5.45,348.5852051,454.9358753,54.95032883,,,5.45
27 05 2018 18:30,5.95,511.0054932,607.6232042,55.27077866,,,5.95
27 05 2018 18:40,5.55,406.9820862,483.1170458,59.70648956,,,5.55
27 05 2018 18:50,5.07,263.9995117,353.1947426,55.25024033,,,5.07
27 05 2018 19:00,5.1,297.3428955,361.3533804,42.14937973,,,5.1
27 05 2018 19:10,5.43,373.0263977,449.7640667,43.71689987,,,5.43
27 05 2018 19:20,5.61,427.6223145,502.5609231,38.90293884,,,5.61
27 05 2018 19:30,6.04,590.3510132,638.318352,37.45272064,,,6.04
27 05 2018 19:40,6.52,752.4528809,812.6646567,43.05424881,,,6.52
27 05 2018 19:50,6.54,780.1364746,823.2189817,43.99163818,,,6.54
27 05 2018 20:00,7.18,1035.042969,1098.817714,44.74573898,,,7.18
27 05 2018 20:10,6.83,836.5772095,940.0715003,42.69488907,,,6.83
27 05 2018 20:20,6.37,652.2147217,754.9646648,42.77077103,,,6.37
27 05 2018 20:30,6.91,936.065918,977.0712326,40.32754898,,,6.91
27 05 2018 20:40,7.56,1181.000977,1287.494747,40.78207016,,,7.56
27 05 2018 20:50,7.49,1167.45105,1250.608492,41.34825897,,,7.49
27 05 2018 21:00,7.7,1287.293945,1361.194027,36.8359108,,,7.7
27 05 2018 21:10,7.95,1309.484009,1499.114228,35.05199051,,,7.95
27 05 2018 21:20,7.84,1366.86499,1439.104133,35.9466095,,,7.84
27 05 2018 21:30,7.35,1088.425049,1182.435908,36.81671143,,,7.35
27 05 2018 21:40,7.33,1074.462036,1170.737662,36.67095184,,,7.33
27 05 2018 21:50,7.31,1072.026001,1160.412574,39.93996048,,,7.31
27 05 2018 22:00,7.31,1122.5,1161.746063,42.52518845,,,7.31
27 05 2018 22:10,7.95,1381.697998,1502.960832,45.4881897,,,7.95
27 05 2018 22:20,7.93,1388.354004,1490.177474,43.98241043,,,7.93
27 05 2018 22:30,8.56,1701.485962,1862.082357,44.87900162,,,8.56
27 05 2018 22:40,9.15,2058.12207,2241.955627,44.25329971,,,9.15
27 05 2018 22:50,9.37,2215.760986,2387.963016,41.78244019,,,9.37
27 05 2018 23:00,9.04,1959.302002,2166.970468,44.09355927,,,9.04
27 05 2018 23:10,8.72,1742.192017,1965.942713,45.86841965,,,8.72
27 05 2018 23:20,8.48,1647.55896,1816.542402,44.17420959,,,8.48
27 05 2018 23:30,8.99,1879.052002,2139.88917,50.19372177,,,8.99
27 05 2018 23:40,8.41,1658.77002,1771.102231,45.10223007,,,8.41
27 05 2018 23:50,8.32,1599.129028,1720.8085,47.61574936,,,8.32
28 05 2018 00:00,10.21,2458.495117,2918.392408,49.70590973,,,10.21
28 05 2018 00:10,8.75,1828.621948,1984.759883,47.55622864,,,8.75
28 05 2018 00:20,8.92,1927.891968,2092.841965,47.63652039,,,8.92
28 05 2018 00:30,9,2018.100952,2146.050675,48.95558929,,,9
28 05 2018 00:40,9.42,2230.990967,2417.253578,45.16365051,,,9.42
28 05 2018 00:50,9.04,2061.324951,2166.855255,42.51625061,,,9.04
28 05 2018 01:00,9.88,2356.041992,2717.776563,42.76562881,,,9.88
28 05 2018 01:10,9.11,2006.5,2213.241535,42.48003006,,,9.11
28 05 2018 01:20,8.41,1584.942993,1771.302839,43.70573044,,,8.41
28 05 2018 01:30,8.24,1580.26001,1670.250396,41.73735046,,,8.24
28 05 2018 01:40,8.83,1831.121948,2034.741475,39.19227982,,,8.83
28 05 2018 01:50,8.3,1571.131958,1709.009418,36.21020889,,,8.3
28 05 2018 02:00,8.02,1441.39502,1540.135981,37.8008194,,,8.02
28 05 2018 02:10,8.31,1558.199951,1713.395062,37.24477005,,,8.31
28 05 2018 02:20,8.91,1822.927979,2083.941886,35.2001915,,,8.91
28 05 2018 02:30,8.69,1724.722046,1944.578887,37.99552155,,,8.69
28 05 2018 02:40,8.24,1503.607056,1670.664616,40.14754105,,,8.24
28 05 2018 02:50,8.03,1363.005981,1545.959679,40.65837097,,,8.03
28 05 2018 03:00,8.31,1503.915039,1709.534793,40.56465912,,,8.31
28 05 2018 03:10,7.86,1339.151001,1449.578566,39.66550064,,,7.86
28 05 2018 03:20,7.76,1234.942017,1395.737492,41.10971069,,,7.76
28 05 2018 03:30,7.98,1324.697021,1520.642054,43.43297958,,,7.98
28 05 2018 03:40,7.88,1353.713989,1464.437442,39.0051384,,,7.88
28 05 2018 03:50,7.63,1202.499023,1323.594548,43.7039299,,,7.63
28 05 2018 04:00,7.49,1149.615967,1252.266808,37.99123001,,,7.49
28 05 2018 04:10,6.6,822.8707275,846.5044751,34.72277832,,,6.6
28 05 2018 04:20,6.26,652.8339844,715.4462349,31.61738968,,,6.26
28 05 2018 04:30,6.74,834.6784058,901.0357683,31.74250031,,,6.74
28 05 2018 04:40,7.03,961.425293,1028.773082,32.72288132,,,7.03
28 05 2018 04:50,7.92,1429.958008,1485.133693,31.99724007,,,7.92
28 05 2018 05:00,8.79,1866.698975,2012.640528,28.51259995,,,8.79
28 05 2018 05:10,8.75,1785.436035,1981.746554,30.01619911,,,8.75
28 05 2018 05:20,8.73,1880.365967,1971.839065,27.58505058,,,8.73
28 05 2018 05:30,8.65,1743.301025,1919.465867,29.20396042,,,8.65
28 05 2018 05:40,7.54,1259.996948,1277.219291,22.66729927,,,7.54
28 05 2018 05:50,7.76,1329.600952,1393.733815,23.18572998,,,7.76
28 05 2018 06:00,7.81,1398.965942,1421.353977,26.32749939,,,7.81
28 05 2018 06:10,7.64,1351.287964,1330.214775,33.03664017,,,7.64
28 05 2018 06:20,8.38,1616.171997,1752.149858,38.03591919,,,8.38
28 05 2018 06:30,8.44,1631.130005,1790.561038,30.1506691,,,8.44
28 05 2018 06:40,9.34,2169.962891,2367.494217,33.23305893,,,9.34
28 05 2018 06:50,9.31,2146.558105,2342.64424,33.76934814,,,9.31
28 05 2018 07:00,9.35,2174.397949,2368.752224,33.44427872,,,9.35
28 05 2018 07:10,8.39,1676.248047,1757.612405,34.22914886,,,8.39
28 05 2018 07:20,9.79,2324.979004,2657.508682,34.68701935,,,9.79
28 05 2018 07:30,9.19,2108.01001,2266.742134,31.32917023,,,9.19
28 05 2018 07:40,8.62,1804.66394,1904.402349,31.18139076,,,8.62
28 05 2018 07:50,8.22,1555.873047,1659.438564,28.95590019,,,8.22
28 05 2018 08:00,7.61,1250.385986,1317.321652,30.29327965,,,7.61
28 05 2018 08:10,7.94,1432.137939,1496.327853,35.0616684,,,7.94
28 05 2018 08:20,7.96,1447.630981,1507.179889,33.10699844,,,7.96
28 05 2018 08:30,8.21,1552.762939,1652.893267,33.31217957,,,8.21
28 05 2018 08:40,8.49,1687.478027,1819.787871,33.48410034,,,8.49
28 05 2018 08:50,8.13,1547.980957,1603.057927,29.13357925,,,8.13
28 05 2018 09:00,7.55,1224.390991,1283.379055,34.30944061,,,7.55
28 05 2018 09:10,7.57,1266.389038,1292.833293,28.24249077,,,7.57
28 05 2018 09:20,9.04,1891.509033,2171.412944,26.16690063,,,9.04
28 05 2018 09:30,7.84,1351.416016,1438.497561,24.45900917,,,7.84
28 05 2018 09:40,7.28,1101.790039,1145.361666,26.78726959,,,7.28
28 05 2018 09:50,7.41,1171.612061,1211.715892,21.68342018,,,7.41
28 05 2018 10:00,7.83,1254.765991,1436.832836,22.56472969,,,7.83
28 05 2018 10:10,7.14,991.1384277,1078.290505,19.65480995,,,7.14
28 05 2018 10:20,7.27,1035.863037,1142.010857,16.71847916,,,7.27
28 05 2018 10:30,7.78,1261.522949,1407.214272,14.22247982,,,7.78
28 05 2018 10:40,8.5,1563.859985,1826.169649,9.629782677,,,8.5
28 05 2018 10:50,8.47,1561.793945,1806.659521,13.04870987,,,8.47
28 05 2018 11:00,8.86,1822.655029,2052.071199,12.12712955,,,8.86
28 05 2018 11:10,8.54,1692.889038,1850.428085,21.18984985,,,8.54
28 05 2018 11:20,8.77,1737.286987,1995.732545,26.48497963,,,8.77
28 05 2018 11:30,9.3,1966.756958,2338.883599,26.6093998,,,9.3
28 05 2018 11:40,8.91,1811.811035,2086.69777,25.32929039,,,8.91
28 05 2018 11:50,9.3,2044.687012,2341.710095,27.49854088,,,9.3
28 05 2018 12:00,9.53,2271.718018,2459.931084,26.47135925,,,9.53
28 05 2018 12:10,10.25,2494.195068,2937.651531,26.96438026,,,10.25
28 05 2018 12:20,9.65,2317.365967,2554.693683,19.87918091,,,9.65
28 05 2018 12:30,9.92,2419.943115,2742.445551,17.1277504,,,9.92
28 05 2018 12:40,10.37,2582.655029,3003.712104,16.11384964,,,10.37
28 05 2018 12:50,12.11,3318.706055,3538.155949,17.88348961,,,12.11
28 05 2018 13:00,11.85,3285.981934,3496.804617,17.22415924,,,11.85
28 05 2018 13:10,11.92,3394.475098,3508.59379,16.60357094,,,11.92
28 05 2018 13:20,11.54,3294.375,3432.387159,15.46138954,,,11.54
28 05 2018 13:30,11.61,3284.374023,3448.616674,16.24856949,,,11.61
28 05 2018 13:40,11.69,3271.593018,3464.924443,17.44726944,,,11.69
28 05 2018 13:50,11.74,3269.362061,3476.021164,18.14053917,,,11.74
28 05 2018 14:00,11.96,3318.312988,3516.25532,18.0718708,,,11.96
28 05 2018 14:10,11.89,3319.093994,3504.607584,17.45397949,,,11.89
28 05 2018 14:20,11.01,3069.558105,3275.28717,19.99724007,,,11.01
28 05 2018 14:30,11.29,3186.837891,3365.204649,20.08097076,,,11.29
28 05 2018 14:40,10.85,2913.809082,3218.029858,23.25852966,,,10.85
28 05 2018 14:50,10.38,2667.791016,3006.192781,24.62194061,,,10.38
28 05 2018 15:00,11.18,3031.721924,3332.240977,26.11617088,,,11.18
28 05 2018 15:10,10.83,2826.727051,3210.683755,25.92610931,,,10.83
28 05 2018 15:20,11.22,3047.996094,3343.859784,24.90745926,,,11.22
28 05 2018 15:30,9.67,2363.176025,2570.724167,31.92907906,,,9.67
28 05 2018 15:40,10.21,2685.087891,2915.577143,29.67593002,,,10.21
28 05 2018 15:50,9.63,2390.184082,2539.525242,29.40196991,,,9.63
28 05 2018 16:00,9.05,2029.426025,2177.125612,30.81528091,,,9.05
28 05 2018 16:10,9.25,2005.000977,2307.399383,31.82180977,,,9.25
28 05 2018 16:20,8.77,1774.609985,1994.191712,36.35744095,,,8.77
28 05 2018 16:30,8.59,1780,1882.950765,34.67470932,,,8.59
28 05 2018 16:40,8.15,1531.599976,1618.025344,38.8814888,,,8.15
28 05 2018 16:50,7.77,1294.353027,1403.595409,40.86603928,,,7.77
28 05 2018 17:00,7.53,1177.587036,1275.784353,38.21960831,,,7.53
28 05 2018 17:10,7.84,1320.327026,1440.687104,40.58325958,,,7.84
28 05 2018 17:20,7.51,1156.255981,1263.835606,42.70460892,,,7.51
28 05 2018 17:30,7.6,1189.972046,1311.162239,41.44384003,,,7.6
28 05 2018 17:40,7.87,1300.584961,1453.968484,43.07559967,,,7.87
28 05 2018 17:50,7.46,1092.948975,1238.685909,40.17658997,,,7.46
28 05 2018 18:00,8.11,1417.623047,1594.151938,39.54999924,,,8.11
28 05 2018 18:10,8.61,1595.083008,1898.763061,46.07472992,,,8.61
28 05 2018 18:20,9.33,2087.170898,2356.38362,40.70875931,,,9.33
28 05 2018 18:30,8.45,1632.849976,1796.144699,38.18917084,,,8.45
28 05 2018 18:40,8.33,1595.477051,1725.892908,40.46308899,,,8.33
28 05 2018 18:50,9.73,2165.940918,2611.45635,45.35942841,,,9.73
28 05 2018 19:00,10.24,2487.460938,2931.989565,44.50852966,,,10.24
28 05 2018 19:10,9.92,2284.270996,2743.339414,45.91749954,,,9.92
28 05 2018 19:20,10,2427.443115,2792.16426,46.49359894,,,10
28 05 2018 19:30,9.15,2013.511963,2243.098716,47.12604904,,,9.15
28 05 2018 19:40,8.68,1755.354004,1939.024601,46.81912994,,,8.68
28 05 2018 19:50,8.16,1513.625977,1624.51576,39.72763062,,,8.16
28 05 2018 20:00,7.88,1315.85498,1461.349602,44.18309021,,,7.88
28 05 2018 20:10,7.47,1081.496948,1243.590706,46.73237991,,,7.47
28 05 2018 20:20,6.55,702.3104248,825.3647884,45.11933136,,,6.55
28 05 2018 20:30,6.74,787.2896118,903.23437,41.26776886,,,6.74
28 05 2018 20:40,6.95,859.4385986,994.6885498,46.31332016,,,6.95
28 05 2018 20:50,6.7,728.2750244,888.3696477,49.23690033,,,6.7
28 05 2018 21:00,8.02,1360.56897,1543.406815,50.67145157,,,8.02
28 05 2018 21:10,7.35,1028.269043,1181.228889,53.21350861,,,7.35
28 05 2018 21:20,6.57,699.8494873,835.1859753,44.02841187,,,6.57
28 05 2018 21:30,6.63,720.1831055,858.8687003,44.25899887,,,6.63
28 05 2018 21:40,6.82,809.8834229,937.0519916,42.84801865,,,6.82
28 05 2018 21:50,6.64,754.7661743,862.3327168,44.25497055,,,6.64
28 05 2018 22:00,6.59,710.4658203,841.0996019,37.34930038,,,6.59
28 05 2018 22:10,6.06,562.8184204,644.2989089,38.56621933,,,6.06
28 05 2018 22:20,5.03,296.6072998,342.9824783,27.86655998,,,5.03
28 05 2018 22:30,6.65,795.2390747,867.2714202,27.88689995,,,6.65
28 05 2018 22:40,6.9,868.3820801,970.3906243,27.8907795,,,6.9
28 05 2018 22:50,5.88,522.3947144,585.745189,33.04114151,,,5.88
28 05 2018 23:00,5.77,479.1774902,549.1162927,32.38542938,,,5.77
28 05 2018 23:10,5.96,528.1621094,609.9651579,36.7840004,,,5.96
28 05 2018 23:20,5.95,542.0654297,608.1628816,36.30451965,,,5.95
28 05 2018 23:30,5.49,415.666687,466.6128734,30.87796021,,,5.49
28 05 2018 23:40,5.79,467.9713135,556.1666068,36.76900864,,,5.79
28 05 2018 23:50,5.92,522.9799194,598.3479032,38.77122116,,,5.92
29 05 2018 00:00,6.04,558.1320801,637.1408931,37.46640015,,,6.04
29 05 2018 00:10,6.6,711.869873,844.3381145,40.88888168,,,6.6
29 05 2018 00:20,5.98,548.2230225,616.7609154,39.1097908,,,5.98
29 05 2018 00:30,5.36,367.8409119,430.783417,41.46656036,,,5.36
29 05 2018 00:40,5.79,458.3786011,555.1855641,40.18144989,,,5.79
29 05 2018 00:50,5.04,292.0751953,345.8175499,41.46762085,,,5.04
29 05 2018 01:00,5.08,319.7033997,355.382754,42.40346146,,,5.08
29 05 2018 01:10,5.72,472.1453857,535.9503214,39.0149498,,,5.72
29 05 2018 01:20,5.46,400.5314026,458.9421178,35.38228989,,,5.46
29 05 2018 01:30,4.49,173.7245941,220.1934174,30.25309944,,,4.49
29 05 2018 01:40,4.79,252.2427063,286.6846157,27.41815948,,,4.79
29 05 2018 01:50,5.41,363.4530029,443.8352179,30.95194054,,,5.41
29 05 2018 02:00,5.71,449.3583069,531.3121494,33.26792908,,,5.71
29 05 2018 02:10,7.34,1044.630981,1174.940429,45.19932175,,,7.34
29 05 2018 02:20,7.25,1061.963013,1133.932964,48.55635834,,,7.25
29 05 2018 02:30,6.65,774.5728149,864.9427848,46.24723053,,,6.65
29 05 2018 02:40,6.75,796.206604,908.8905812,51.00627136,,,6.75
29 05 2018 02:50,6.14,589.3154297,671.7019153,50.06172943,,,6.14
29 05 2018 03:00,6.28,633.8461304,723.9961718,52.28403091,,,6.28
29 05 2018 03:10,6.56,728.3909302,830.9189328,53.55313873,,,6.56
29 05 2018 03:20,6.85,854.5396729,948.6385546,54.90594864,,,6.85
29 05 2018 03:30,7.35,1053.915039,1179.305028,57.3855896,,,7.35
29 05 2018 03:40,6.05,541.6630859,642.312019,51.28340149,,,6.05
29 05 2018 03:50,6.07,581.9168091,649.3263918,49.05469894,,,6.07
29 05 2018 04:00,4.83,268.9418945,295.4440358,42.3680687,,,4.83
29 05 2018 04:10,4.99,282.7366943,333.0489879,31.86467934,,,4.99
29 05 2018 04:20,5.04,299.8514099,346.6135962,39.30612183,,,5.04
29 05 2018 04:30,5.21,333.9507141,388.2171771,38.36648178,,,5.21
29 05 2018 04:40,5.48,418.3782959,462.1034632,50.50074005,,,5.48
29 05 2018 04:50,5.02,301.1452026,341.0248343,42.40663147,,,5.02
29 05 2018 05:00,4.66,256.1438904,257.6030705,40.17462158,,,4.66
29 05 2018 05:10,4.78,261.2067871,282.5940825,48.23897171,,,4.78
29 05 2018 05:20,4.98,297.0592957,332.184303,46.59674072,,,4.98
29 05 2018 05:30,5.23,354.2437134,393.4121191,50.16572952,,,5.23
29 05 2018 05:40,5.22,303.0296936,391.236089,57.0931015,,,5.22
29 05 2018 05:50,5.01,265.0905151,339.3948531,63.89479828,,,5.01
29 05 2018 06:00,4.21,141.8659058,163.0841788,55.54468155,,,4.21
29 05 2018 06:10,4.38,185.9597015,197.9729867,50.30867004,,,4.38
29 05 2018 06:20,4.41,178.3930969,203.2354767,44.1659317,,,4.41
29 05 2018 06:30,6.04,539.7788696,639.2689306,54.39789963,,,6.04
29 05 2018 06:40,6.82,782.7349854,937.4067265,55.65756989,,,6.82
29 05 2018 06:50,6.59,726.4337158,840.6993677,56.58259964,,,6.59
29 05 2018 07:00,6.61,732.3870239,848.2306258,54.64255905,,,6.61
29 05 2018 07:10,6.5,673.4796143,804.5729551,54.12337112,,,6.5
29 05 2018 07:20,6.3,652.4362793,730.1101625,54.27667999,,,6.3
29 05 2018 07:30,5.7,434.9916077,527.1136272,56.81167984,,,5.7
29 05 2018 07:40,4.56,242.0175934,234.0206886,41.38056946,,,4.56
29 05 2018 07:50,5.08,304.3424072,354.9940012,52.57250977,,,5.08
29 05 2018 08:00,3.83,93.8914032,96.98452873,48.92330933,,,3.83
29 05 2018 08:10,0,30.86189079,34.03069773,61.68048096,,,3.32
29 05 2018 08:20,3.92,117.0931015,112.5861571,36.05958939,,,3.92
29 05 2018 08:30,4,126.1949005,123.5603452,26.23646927,,,4
29 05 2018 08:40,5.72,478.311615,535.9230523,22.67602921,,,5.72
29 05 2018 08:50,6.85,875.9002075,949.7973003,22.74720001,,,6.85
29 05 2018 09:00,5.83,521.3522949,568.7800523,31.66966057,,,5.83
29 05 2018 09:10,4.48,217.596405,218.1412313,38.26596069,,,4.48
29 05 2018 09:20,4.95,285.1337891,323.9992846,36.96646118,,,4.95
